COMMAND_NAME,DATE,TIME
add_chitara,2022-05-04,16:28:17.307375500
get_produse,2022-05-04,16:31:38.773723800
get_produse,2022-05-04,16:32:09.259147200
get_produse,2022-05-04,16:35:46.477604600
get_product_reviews,2022-05-04,16:38:14.179657100
get_product_reviews,2022-05-04,16:38:57.961884500
add_chitara,2022-05-29,17:16:18.139977100
get_produse,2022-05-29,17:18:32.858305
adauga_cantitate,2022-05-29,17:24:36.660077100
adauga_produs,2022-05-29,17:28:16.920526600
plaseaza_comanda,2022-05-29,17:28:41.485926900
get_produse,2022-05-29,17:31:06.433622100
remove_product,2022-05-29,17:34:29.088618200
remove_product,2022-05-29,17:34:49.777011200
remove_product,2022-05-29,17:35:09.264879800
get_produse,2022-05-29,17:35:21.906703400
remove_product,2022-05-29,17:36:26.460378400
remove_product,2022-05-29,17:37:32.856330400
get_produse,2022-05-29,17:38:16.839930
get_produse,2022-05-30,01:21:32.449606200
